id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kekuatan_sinyal,jumlah_desa,satuan,tahun
62,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL LEMAH,111,DESA,2021
63,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK ADA SINYAL,3,DESA,2021
64,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL KUAT,242,DESA,2021
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL LEMAH,109,DESA,2021
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK ADA SINYAL,3,DESA,2021
67,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL KUAT,237,DESA,2021
68,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL LEMAH,33,DESA,2021
69,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK ADA SINYAL,0,DESA,2021
70,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL KUAT,300,DESA,2021
71,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL LEMAH,114,DESA,2021
72,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK ADA SINYAL,7,DESA,2021
73,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL KUAT,250,DESA,2021
74,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL LEMAH,99,DESA,2021
75,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK ADA SINYAL,2,DESA,2021
76,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL KUAT,204,DESA,2021
77,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL LEMAH,54,DESA,2021
78,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK ADA SINYAL,0,DESA,2021
79,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL KUAT,316,DESA,2021
80,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL LEMAH,43,DESA,2021
81,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK ADA SINYAL,2,DESA,2021
82,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL KUAT,389,DESA,2021
83,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL LEMAH,22,DESA,2021
84,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK ADA SINYAL,1,DESA,2021
85,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL KUAT,292,DESA,2021
86,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL LEMAH,38,DESA,2021
87,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK ADA SINYAL,0,DESA,2021
88,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL KUAT,228,DESA,2021
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL LEMAH,40,DESA,2021
90,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK ADA SINYAL,2,DESA,2021
91,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL KUAT,295,DESA,2021
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL LEMAH,14,DESA,2021
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK ADA SINYAL,0,DESA,2021
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL KUAT,225,DESA,2021
95,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL LEMAH,20,DESA,2021
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK ADA SINYAL,0,DESA,2021
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL KUAT,163,DESA,2021
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL LEMAH,19,DESA,2021
99,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK ADA SINYAL,1,DESA,2021
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL KUAT,249,DESA,2021
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL LEMAH,47,DESA,2021
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK ADA SINYAL,1,DESA,2021
103,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL KUAT,163,DESA,2021
104,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL LEMAH,17,DESA,2021
105,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK ADA SINYAL,0,DESA,2021
106,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL KUAT,146,DESA,2021
107,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL LEMAH,19,DESA,2021
108,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK ADA SINYAL,0,DESA,2021
109,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL KUAT,60,DESA,2021
110,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL LEMAH,33,DESA,2021
111,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK ADA SINYAL,0,DESA,2021
112,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL KUAT,16,DESA,2021
113,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL LEMAH,0,DESA,2021
114,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK ADA SINYAL,0,DESA,2021
115,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL KUAT,354,DESA,2022
116,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL LEMAH,61,DESA,2022
117,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK ADA SINYAL,1,DESA,2022
118,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL KUAT,273,DESA,2022
119,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL LEMAH,101,DESA,2022
120,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK ADA SINYAL,7,DESA,2022
121,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL KUAT,247,DESA,2022
122,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL LEMAH,106,DESA,2022
123,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK ADA SINYAL,1,DESA,2022
124,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL KUAT,242,DESA,2022
125,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL LEMAH,28,DESA,2022
126,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK ADA SINYAL,0,DESA,2022
127,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL KUAT,307,DESA,2022
128,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL LEMAH,112,DESA,2022
129,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK ADA SINYAL,2,DESA,2022
130,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL KUAT,261,DESA,2022
131,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL LEMAH,90,DESA,2022
132,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK ADA SINYAL,0,DESA,2022
133,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL KUAT,211,DESA,2022
134,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL LEMAH,47,DESA,2022
135,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK ADA SINYAL,0,DESA,2022
136,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL KUAT,321,DESA,2022
137,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL LEMAH,40,DESA,2022
138,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK ADA SINYAL,0,DESA,2022
139,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL KUAT,393,DESA,2022
140,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL LEMAH,19,DESA,2022
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK ADA SINYAL,0,DESA,2022
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL KUAT,301,DESA,2022
143,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL LEMAH,29,DESA,2022
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK ADA SINYAL,0,DESA,2022
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL KUAT,238,DESA,2022
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL LEMAH,31,DESA,2022
147,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK ADA SINYAL,1,DESA,2022
148,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL KUAT,299,DESA,2022
149,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL LEMAH,10,DESA,2022
150,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK ADA SINYAL,0,DESA,2022
151,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL KUAT,228,DESA,2022
152,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL LEMAH,17,DESA,2022
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK ADA SINYAL,0,DESA,2022
154,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL KUAT,162,DESA,2022
155,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL LEMAH,21,DESA,2022
156,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK ADA SINYAL,0,DESA,2022
157,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL KUAT,256,DESA,2022
158,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL LEMAH,40,DESA,2022
159,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK ADA SINYAL,1,DESA,2022
160,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL KUAT,167,DESA,2022
161,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL LEMAH,13,DESA,2022
162,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK ADA SINYAL,0,DESA,2022
163,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL KUAT,146,DESA,2022
164,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL LEMAH,18,DESA,2022
165,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK ADA SINYAL,0,DESA,2022
166,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL KUAT,62,DESA,2022
167,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL LEMAH,31,DESA,2022
168,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK ADA SINYAL,0,DESA,2022
169,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL KUAT,15,DESA,2022
170,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL LEMAH,1,DESA,2022
171,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK ADA SINYAL,0,DESA,2022
172,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL KUAT,354,DESA,2023
173,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL LEMAH,61,DESA,2023
174,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK ADA SINYAL,1,DESA,2023
175,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL KUAT,273,DESA,2023
176,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL LEMAH,101,DESA,2023
177,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK ADA SINYAL,7,DESA,2023
178,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL KUAT,247,DESA,2023
179,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL LEMAH,106,DESA,2023
180,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK ADA SINYAL,1,DESA,2023
181,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL KUAT,242,DESA,2023
182,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL LEMAH,28,DESA,2023
183,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK ADA SINYAL,0,DESA,2023
184,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL KUAT,307,DESA,2023
185,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL LEMAH,112,DESA,2023
186,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK ADA SINYAL,2,DESA,2023
187,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL KUAT,261,DESA,2023
188,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL LEMAH,90,DESA,2023
189,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK ADA SINYAL,0,DESA,2023
190,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL KUAT,211,DESA,2023
191,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL LEMAH,47,DESA,2023
192,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK ADA SINYAL,0,DESA,2023
193,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL KUAT,321,DESA,2023
194,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL LEMAH,40,DESA,2023
195,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK ADA SINYAL,0,DESA,2023
196,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL KUAT,393,DESA,2023
197,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL LEMAH,19,DESA,2023
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK ADA SINYAL,0,DESA,2023
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL KUAT,301,DESA,2023
200,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL LEMAH,29,DESA,2023
201,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK ADA SINYAL,0,DESA,2023
202,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL KUAT,238,DESA,2023
203,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL LEMAH,31,DESA,2023
204,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK ADA SINYAL,1,DESA,2023
205,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL KUAT,299,DESA,2023
206,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL LEMAH,10,DESA,2023
207,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK ADA SINYAL,0,DESA,2023
208,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL KUAT,228,DESA,2023
209,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL LEMAH,17,DESA,2023
210,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK ADA SINYAL,0,DESA,2023
211,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL KUAT,162,DESA,2023
212,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL LEMAH,21,DESA,2023
213,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK ADA SINYAL,0,DESA,2023
214,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL KUAT,256,DESA,2023
215,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL LEMAH,40,DESA,2023
216,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK ADA SINYAL,1,DESA,2023
217,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL KUAT,167,DESA,2023
218,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL LEMAH,13,DESA,2023
219,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK ADA SINYAL,0,DESA,2023
220,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL KUAT,147,DESA,2023
221,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL LEMAH,18,DESA,2023
222,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK ADA SINYAL,0,DESA,2023
223,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL KUAT,62,DESA,2023
224,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL LEMAH,31,DESA,2023
225,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK ADA SINYAL,0,DESA,2023
226,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL KUAT,15,DESA,2023
227,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL LEMAH,1,DESA,2023
228,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK ADA SINYAL,0,DESA,2023
229,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL KUAT,377,DESA,2024
230,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL LEMAH,38,DESA,2024
231,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK ADA SINYAL,1,DESA,2024
232,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL KUAT,311,DESA,2024
233,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL LEMAH,64,DESA,2024
234,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK ADA SINYAL,6,DESA,2024
235,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL KUAT,269,DESA,2024
236,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL LEMAH,85,DESA,2024
237,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK ADA SINYAL,0,DESA,2024
238,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL KUAT,255,DESA,2024
239,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL LEMAH,15,DESA,2024
240,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK ADA SINYAL,0,DESA,2024
241,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL KUAT,340,DESA,2024
242,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL LEMAH,79,DESA,2024
243,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK ADA SINYAL,2,DESA,2024
244,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL KUAT,300,DESA,2024
245,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL LEMAH,49,DESA,2024
246,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK ADA SINYAL,2,DESA,2024
247,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL KUAT,227,DESA,2024
248,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL LEMAH,31,DESA,2024
249,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK ADA SINYAL,0,DESA,2024
250,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL KUAT,339,DESA,2024
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL LEMAH,22,DESA,2024
252,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK ADA SINYAL,0,DESA,2024
253,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL KUAT,403,DESA,2024
254,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL LEMAH,9,DESA,2024
255,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK ADA SINYAL,0,DESA,2024
256,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL KUAT,314,DESA,2024
257,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL LEMAH,16,DESA,2024
258,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK ADA SINYAL,0,DESA,2024
259,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL KUAT,254,DESA,2024
260,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL LEMAH,16,DESA,2024
261,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK ADA SINYAL,0,DESA,2024
262,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL KUAT,304,DESA,2024
263,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL LEMAH,5,DESA,2024
264,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK ADA SINYAL,0,DESA,2024
265,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL KUAT,236,DESA,2024
266,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL LEMAH,9,DESA,2024
267,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK ADA SINYAL,0,DESA,2024
268,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL KUAT,168,DESA,2024
269,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL LEMAH,15,DESA,2024
270,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK ADA SINYAL,0,DESA,2024
271,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL KUAT,270,DESA,2024
